Honesty ,Scalability ,Robustness,Direct Trust,Indirect Trust,Aggregation
0.662,0.631,0.490,0.934,0.621,0.668
0.818,0.380,0.760,0.914,0.168,0.608
0.991,0.441,0.484,0.120,0.434,0.494
0.344,0.285,0.340,0.178,0.346,0.298
0.733,0.933,0.792,0.465,0.589,0.703
0.543,0.134,0.998,0.324,0.647,0.529
0.374,0.225,0.940,0.732,0.683,0.591
0.005,0.264,0.569,0.341,0.471,0.330
0.324,0.751,0.948,0.989,0.242,0.651
0.195,0.381,0.852,0.104,0.231,0.353
0.060,0.200,0.284,0.488,0.309,0.268
0.282,0.351,0.597,0.958,0.697,0.577
0.687,0.287,0.980,0.245,0.285,0.497
0.400,0.599,0.508,0.607,0.444,0.512
0.412,0.065,0.171,0.550,0.097,0.259
0.891,0.053,0.377,0.354,0.200,0.375
0.983,0.317,0.049,0.136,0.829,0.463
0.586,0.984,0.609,0.103,0.110,0.478
0.755,0.312,0.712,0.210,0.830,0.564
0.614,0.382,0.184,0.072,0.365,0.324
0.001,0.733,0.142,0.131,0.224,0.246
0.433,0.098,0.055,0.893,0.548,0.405
0.867,0.340,0.084,0.568,0.816,0.535
0.794,0.022,0.310,0.509,0.065,0.340
0.561,0.208,0.259,0.215,0.864,0.421
0.206,0.858,0.561,0.894,0.469,0.598
0.667,0.503,0.730,0.217,0.215,0.467
0.107,0.579,0.024,0.058,0.274,0.208
0.047,0.594,0.122,0.067,0.256,0.217
0.211,0.425,0.917,0.214,0.614,0.476
0.531,0.302,0.750,0.616,0.051,0.450
0.350,0.140,0.245,0.295,0.536,0.313
0.307,0.655,0.467,0.150,0.832,0.482
0.721,0.677,0.151,0.811,0.853,0.643
0.539,0.334,0.670,0.873,0.064,0.496
0.015,0.196,0.687,0.700,0.944,0.508
0.292,0.295,0.575,0.367,0.278,0.361
0.232,0.512,0.859,0.184,0.311,0.420
0.525,0.532,0.431,0.803,0.944,0.647
0.016,0.153,0.372,0.503,0.477,0.304
0.467,0.048,0.238,0.782,0.986,0.504
0.015,0.995,0.256,0.994,0.875,0.627
0.171,0.673,0.141,0.368,0.476,0.366
0.403,0.729,0.606,0.173,0.185,0.419
0.945,0.951,0.136,0.993,0.398,0.685
0.204,0.382,0.242,0.955,0.774,0.511
0.176,0.844,0.435,0.913,0.286,0.531
0.283,0.445,0.379,0.410,0.637,0.431
0.694,0.165,0.805,0.242,0.634,0.508
0.463,0.682,0.114,0.651,0.377,0.457
0.517,0.640,0.878,0.417,0.242,0.539
0.864,0.119,0.104,0.253,0.489,0.366
0.379,0.119,0.417,0.347,0.294,0.311
0.661,0.462,0.175,0.481,0.325,0.421
0.434,0.227,0.491,0.368,0.237,0.351
0.640,0.706,0.179,0.306,0.962,0.559
0.886,0.380,0.809,0.359,0.260,0.539
0.231,0.983,0.246,0.734,0.676,0.574
0.438,0.929,0.095,0.647,0.179,0.458
0.973,0.395,0.414,0.822,0.535,0.628
0.403,0.793,0.047,0.026,0.446,0.343
0.676,0.525,0.418,0.526,0.693,0.568
0.013,0.036,0.802,0.701,0.901,0.491
0.633,0.298,0.552,0.483,0.985,0.590
0.495,0.236,0.441,0.479,0.569,0.444
0.583,0.225,0.149,0.031,0.573,0.312
0.929,0.940,0.540,0.490,0.713,0.722
0.193,0.100,0.402,0.735,0.442,0.375
0.950,0.807,0.473,0.943,0.483,0.731
0.034,0.753,0.099,0.947,0.918,0.550
0.620,0.678,0.575,0.477,0.129,0.496
0.972,0.815,0.788,0.150,0.558,0.657
0.045,0.784,0.336,0.260,0.334,0.352
0.499,0.231,0.967,0.293,0.624,0.523
0.747,0.259,0.309,0.587,0.173,0.415
0.083,0.739,0.814,0.040,0.986,0.532
0.787,0.204,0.860,0.389,0.561,0.560
0.012,0.866,0.032,0.463,0.633,0.401
0.580,0.589,0.601,0.346,0.600,0.543
0.348,0.286,0.605,0.110,0.640,0.398
0.937,0.228,0.647,0.066,0.688,0.513
0.260,0.252,0.373,0.156,0.350,0.278
0.963,0.809,0.216,0.957,0.753,0.740
0.575,0.451,0.628,0.581,0.998,0.646
0.281,0.865,0.271,0.082,0.654,0.431
0.822,0.511,0.428,0.188,0.051,0.400
0.853,0.285,0.040,0.892,0.115,0.437
0.375,0.703,0.772,0.944,0.228,0.604
0.121,0.473,0.415,0.446,0.221,0.335
0.929,0.091,0.629,0.608,0.162,0.484
0.558,0.549,0.061,0.721,0.555,0.489
0.040,0.819,0.094,0.881,0.520,0.471
0.858,0.743,0.547,0.723,0.990,0.772
0.224,0.429,0.682,0.215,0.939,0.498
0.835,0.359,0.042,0.426,0.919,0.516
0.022,0.269,0.947,0.828,0.009,0.415
0.463,0.461,0.689,0.823,0.261,0.539
0.763,0.844,0.443,0.954,0.429,0.687
0.499,0.419,0.695,0.687,0.423,0.544
0.299,0.332,0.694,0.126,0.336,0.357
0.358,0.395,0.319,0.868,0.297,0.447
0.886,0.273,0.102,0.540,0.601,0.480
0.686,0.886,0.083,0.388,0.712,0.551
0.981,0.554,0.615,0.906,0.092,0.629
0.617,0.719,0.208,0.229,0.849,0.525
0.501,0.326,0.377,0.671,0.854,0.546
0.648,0.718,0.986,0.155,0.451,0.592
0.380,0.135,0.573,0.511,0.111,0.342
0.347,0.614,0.059,0.141,0.898,0.412
0.019,0.915,0.073,0.537,0.937,0.497
0.321,0.272,0.736,0.166,0.678,0.435
0.415,0.698,0.011,0.151,0.208,0.297
0.536,0.338,0.610,0.174,0.590,0.450
0.401,0.070,0.281,0.144,0.936,0.366
0.926,0.431,0.979,0.659,0.917,0.782
0.450,0.990,0.435,0.974,0.989,0.768
0.215,0.954,0.592,0.071,0.392,0.445
0.916,0.992,0.724,0.137,0.403,0.634
0.693,0.318,0.026,0.224,0.184,0.289
0.763,0.890,0.355,0.460,0.630,0.620
0.377,0.178,0.087,0.400,0.446,0.297
0.051,0.369,0.221,0.548,0.945,0.427
0.124,0.247,0.755,0.650,0.657,0.487
0.454,0.432,0.106,0.101,0.450,0.308
0.501,0.128,0.677,0.115,0.416,0.367
0.916,0.234,0.406,0.927,0.639,0.624
0.255,0.612,0.888,0.519,0.800,0.615
0.388,0.301,0.389,0.866,0.881,0.565
0.307,0.957,0.496,0.741,0.312,0.562
0.278,0.197,0.740,0.824,0.197,0.447
0.588,0.737,0.994,0.170,0.008,0.499
0.080,0.053,0.194,0.852,0.539,0.344
0.886,0.433,0.686,0.494,0.180,0.536
0.480,0.419,0.080,0.926,0.609,0.503
0.815,0.530,0.742,0.987,0.127,0.640
